scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_precision,lado_a_recall,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_io_shared_hit,lado_b_io_shared_read,overlap_at_k
1k,1000,text,"Where my mind is like an open window  
Where the high and healing winds blow  
From my shallow sleep the sounds awake me  
I let them take me",1,0.71,1408.45,0.0898,0.1681,0.7778,0.0625,9.581,104.37,0.0117,0.0412,0.7778,0.0625,80,0,0.4
1k,1000,text,"Where my mind is like an open window  
Where the high and healing winds blow  
From my shallow sleep the sounds awake me  
I let them take me",2,0.618,1618.12,0.0,0.1681,0.7778,0.0625,3.736,267.64,0.0039,0.0411,0.7778,0.0625,80,0,0.4
1k,1000,text,"Where my mind is like an open window  
Where the high and healing winds blow  
From my shallow sleep the sounds awake me  
I let them take me",3,0.643,1555.45,0.0,0.1681,0.7778,0.0625,4.04,247.51,0.0,0.0411,0.7778,0.0625,80,0,0.4
1k,1000,text,"Wishing, hoping, chasing shadows  
Did I see your face somewhere in the crowd  
Thinking, wondering what you're doing  
I can't stop myself from crying out loud  
They say my wound will heal and only ",1,0.691,1446.97,0.0,0.1737,0.6667,0.0536,4.518,221.31,0.0,0.05,0.3333,0.0268,80,0,0.2
1k,1000,text,"Wishing, hoping, chasing shadows  
Did I see your face somewhere in the crowd  
Thinking, wondering what you're doing  
I can't stop myself from crying out loud  
They say my wound will heal and only ",2,0.615,1626.81,0.0,0.1737,0.6667,0.0536,4.441,225.17,0.0,0.05,0.3333,0.0268,80,0,0.2
1k,1000,text,"Wishing, hoping, chasing shadows  
Did I see your face somewhere in the crowd  
Thinking, wondering what you're doing  
I can't stop myself from crying out loud  
They say my wound will heal and only ",3,0.653,1531.39,0.0039,0.1737,0.6667,0.0536,5.507,181.57,0.0039,0.0503,0.3333,0.0268,80,0,0.2
1k,1000,text,"When every race is run  
And the day is closing in  
I don't care about the world  
I'm living for the light  
Don't cry for me today' ah ah ah",1,0.603,1659.48,0.0,0.1653,0.0,0.0,4.355,229.64,0.0,0.0544,0.1111,0.0909,80,0,0.1
1k,1000,text,"When every race is run  
And the day is closing in  
I don't care about the world  
I'm living for the light  
Don't cry for me today' ah ah ah",2,0.556,1797.91,0.0,0.1653,0.0,0.0,4.643,215.36,0.0,0.0544,0.1111,0.0909,80,0,0.1
1k,1000,text,"When every race is run  
And the day is closing in  
I don't care about the world  
I'm living for the light  
Don't cry for me today' ah ah ah",3,0.559,1789.87,0.0,0.1653,0.0,0.0,4.086,244.74,0.0,0.0544,0.1111,0.0909,80,0,0.1
1k,1000,text,"Patience  
(sweet sweet, our love is bitter-sweet)  
Love isn't just a sensation  
(sweet sweet, our love is bitter-sweet)  
Some of the time it gets rough  
Love isn't easy but it sure is hard enough",1,0.616,1623.11,0.0,0.1701,0.7778,0.0625,4.802,208.24,0.0,0.043,0.3333,0.0268,80,0,0.3
1k,1000,text,"Patience  
(sweet sweet, our love is bitter-sweet)  
Love isn't just a sensation  
(sweet sweet, our love is bitter-sweet)  
Some of the time it gets rough  
Love isn't easy but it sure is hard enough",2,1.285,778.21,0.0,0.1701,0.7778,0.0625,18.324,54.57,0.0,0.0425,0.3333,0.0268,80,0,0.3
1k,1000,text,"Patience  
(sweet sweet, our love is bitter-sweet)  
Love isn't just a sensation  
(sweet sweet, our love is bitter-sweet)  
Some of the time it gets rough  
Love isn't easy but it sure is hard enough",3,0.597,1675.32,0.0,0.1701,0.7778,0.0625,17.816,56.13,0.0,0.0425,0.3333,0.0268,80,0,0.3
1k,1000,text,"Love is always around and you can look for it anywhere  
When you feel that you've found it my advice is to take good care  
Never use it as a selfish tool  
Never ever be such a fool  
Every feeling ",1,0.834,1199.47,0.0,0.2121,0.8889,0.0714,24.833,40.27,0.0,0.063,0.4444,0.0357,80,0,0.5
1k,1000,text,"Love is always around and you can look for it anywhere  
When you feel that you've found it my advice is to take good care  
Never use it as a selfish tool  
Never ever be such a fool  
Every feeling ",2,0.799,1252.19,0.0,0.2121,0.8889,0.0714,23.886,41.87,0.0,0.063,0.4444,0.0357,80,0,0.5
1k,1000,text,"Love is always around and you can look for it anywhere  
When you feel that you've found it my advice is to take good care  
Never use it as a selfish tool  
Never ever be such a fool  
Every feeling ",3,0.784,1275.84,0.0,0.2121,0.8889,0.0714,23.751,42.1,0.0,0.063,0.4444,0.0357,80,0,0.5
