scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_io_reads,lado_a_io_read_mb,lado_a_io_load_mb,lado_a_index_mb,lado_a_precision,lado_a_recall,lado_a_rr,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_rr,lado_b_io_shared_hit,lado_b_io_shared_read,lado_b_gist_latencia_ms,lado_b_gist_qps,lado_b_gist_ram_delta_mb,lado_b_gist_mem_pico_mb,lado_b_gist_io_shared_hit,lado_b_gist_io_shared_read,lado_b_gist_rr,overlap_at_k
1k,1000,text,"I'm fucking wasted  
It's the best shit I've ever tasted  
My brain's been erased-ed  
Well fucking fried",1,0.51,1962.71,0.0312,0.1056,0,0.0,0.2212,0.1866,0.3333,0.4286,1.0,8.09,123.6,0.0039,0.0036,0.2222,0.2857,0.5,80,0,3.492,286.36,0.0,0.0035,91,0,0.5,0.3
1k,1000,text,"I'm fucking wasted  
It's the best shit I've ever tasted  
My brain's been erased-ed  
Well fucking fried",2,0.435,2300.97,0.0,0.1056,0,0.0,0.2212,0.1866,0.3333,0.4286,1.0,2.248,444.76,0.0,0.0035,0.2222,0.2857,0.5,80,0,2.004,499.0,0.0078,0.0034,91,0,0.5,0.3
1k,1000,text,"I'm fucking wasted  
It's the best shit I've ever tasted  
My brain's been erased-ed  
Well fucking fried",3,0.402,2486.33,0.0,0.1056,0,0.0,0.2212,0.1866,0.3333,0.4286,1.0,2.28,438.58,0.0,0.0034,0.2222,0.2857,0.5,80,0,2.12,471.7,0.0,0.0033,91,0,0.5,0.3
1k,1000,text,"Yes, I know I don't posses you  
So go away, God bless you  
You are still my love and my life  
Still my one and only",1,0.766,1305.82,0.0,0.2052,0,0.0,0.2212,0.1866,0.6667,0.0536,1.0,2.578,387.85,0.0,0.0034,0.4444,0.0357,1.0,80,0,2.395,417.48,0.0,0.0033,80,0,1.0,0.5
1k,1000,text,"Yes, I know I don't posses you  
So go away, God bless you  
You are still my love and my life  
Still my one and only",2,0.779,1284.36,0.0,0.2052,0,0.0,0.2212,0.1866,0.6667,0.0536,1.0,2.358,424.16,0.0,0.0034,0.4444,0.0357,1.0,80,0,2.198,455.02,0.0,0.0033,80,0,1.0,0.5
1k,1000,text,"Yes, I know I don't posses you  
So go away, God bless you  
You are still my love and my life  
Still my one and only",3,0.856,1167.68,0.0,0.2052,0,0.0,0.2212,0.1866,0.6667,0.0536,1.0,2.538,393.98,0.0,0.0034,0.4444,0.0357,1.0,80,0,2.436,410.42,0.0,0.0033,80,0,1.0,0.5
1k,1000,text,"When the autumn leaves are falling to the ground  
When the air gets cold then I think of us  
Of you and I  
And it almost makes me cry  
So sad and kind of bitter sweet  
And the memories filled wit",1,0.677,1476.67,0.0,0.1758,0,0.0,0.2212,0.1866,0.6667,0.0536,1.0,4.443,225.1,0.0,0.0035,0.2222,0.0179,0.3333,78,0,3.203,312.23,0.0,0.0034,87,0,0.3333,0.3
1k,1000,text,"When the autumn leaves are falling to the ground  
When the air gets cold then I think of us  
Of you and I  
And it almost makes me cry  
So sad and kind of bitter sweet  
And the memories filled wit",2,0.894,1118.69,0.0,0.1758,0,0.0,0.2212,0.1866,0.6667,0.0536,1.0,2.736,365.56,0.0,0.0035,0.2222,0.0179,0.3333,78,0,2.568,389.39,0.0,0.0034,87,0,0.3333,0.3
1k,1000,text,"When the autumn leaves are falling to the ground  
When the air gets cold then I think of us  
Of you and I  
And it almost makes me cry  
So sad and kind of bitter sweet  
And the memories filled wit",3,0.83,1205.4,0.0,0.1758,0,0.0,0.2212,0.1866,0.6667,0.0536,1.0,2.751,363.56,0.0,0.0035,0.2222,0.0179,0.3333,78,0,2.577,387.97,0.0,0.0034,87,0,0.3333,0.3
1k,1000,text,We'll sail the endless sea,1,0.175,5707.76,0.0,0.1056,0,0.0,0.2212,0.1866,0.1429,0.0909,0.3333,1.612,620.42,0.0,0.0033,0.0,0.0,0.0,74,0,1.492,670.02,0.0,0.0033,71,0,0.0,0.1
1k,1000,text,We'll sail the endless sea,2,0.186,5390.84,0.0,0.1056,0,0.0,0.2212,0.1866,0.1429,0.0909,0.3333,1.626,615.04,0.0,0.0033,0.0,0.0,0.0,74,0,1.136,880.44,0.0,0.0033,71,0,0.0,0.1
1k,1000,text,We'll sail the endless sea,3,0.18,5555.56,0.0,0.1056,0,0.0,0.2212,0.1866,0.1429,0.0909,0.3333,1.514,660.5,0.0,0.0033,0.0,0.0,0.0,74,0,1.415,706.56,0.0,0.0033,71,0,0.0,0.1
1k,1000,text,"Was it hard to step down from your throne  
And to know tonight you're all alone  
Oh what a shame, you really want that girl  
She doesn't care, still you just dream of her",1,0.694,1440.51,0.0,0.1859,0,0.0,0.2212,0.1866,0.4444,0.0357,0.5,2.649,377.5,0.0,0.0035,0.5556,0.0446,1.0,80,0,2.406,415.59,0.0,0.0034,80,0,1.0,0.3
1k,1000,text,"Was it hard to step down from your throne  
And to know tonight you're all alone  
Oh what a shame, you really want that girl  
She doesn't care, still you just dream of her",2,0.669,1495.66,0.0,0.1859,0,0.0,0.2212,0.1866,0.4444,0.0357,0.5,2.489,401.85,0.0,0.0035,0.5556,0.0446,1.0,80,0,2.377,420.65,0.0,0.0034,80,0,1.0,0.3
1k,1000,text,"Was it hard to step down from your throne  
And to know tonight you're all alone  
Oh what a shame, you really want that girl  
She doesn't care, still you just dream of her",3,0.673,1486.1,0.0,0.1859,0,0.0,0.2212,0.1866,0.4444,0.0357,0.5,2.613,382.66,0.0,0.0035,0.5556,0.0446,1.0,80,0,2.468,405.25,0.0,0.0034,80,0,1.0,0.3
